src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp,attack_type,label,hour,day,anomaly
192.168.1.198,10.0.0.156,13051,65,UDP,1920,2023-01-12 01:49:20,Normal,0,1,Thursday,0
192.168.1.110,10.0.0.219,32563,94,UDP,547,2023-01-02 09:20:00,Shellcode,1,9,Monday,0
192.168.1.127,10.0.0.199,6564,43,TCP,825,2023-01-22 14:06:20,Normal,0,14,Sunday,0
192.168.1.99,10.0.0.153,38573,600,TCP,619,2023-01-23 12:44:36,Normal,0,12,Monday,0
192.168.1.81,10.0.0.122,30328,199,ICMP,1147,2023-01-17 04:07:02,Normal,0,4,Tuesday,0
192.168.1.15,10.0.0.232,23493,435,TCP,859,2023-01-18 04:26:30,Normal,0,4,Wednesday,0
192.168.1.39,10.0.0.236,6706,145,UDP,1227,2023-01-19 16:02:52,Normal,0,16,Thursday,0
192.168.1.1,10.0.0.238,8573,334,TCP,494,2023-01-17 15:06:50,Normal,0,15,Tuesday,0
192.168.1.55,10.0.0.88,28415,503,TCP,1563,2023-01-21 19:32:59,Analysis,1,19,Saturday,0
192.168.1.104,10.0.0.125,5925,829,UDP,641,2023-01-02 13:20:36,Normal,0,13,Monday,0
192.168.1.200,10.0.0.161,7032,877,ICMP,1654,2023-01-17 19:30:44,Normal,0,19,Tuesday,0
192.168.1.220,10.0.0.191,61768,455,ICMP,1601,2023-01-11 04:09:57,Normal,0,4,Wednesday,0
192.168.1.88,10.0.0.97,41584,690,UDP,80,2023-01-12 12:58:23,Normal,0,12,Thursday,0
192.168.1.98,10.0.0.13,40352,401,ICMP,1864,2023-01-23 00:25:25,Normal,0,0,Monday,0
192.168.1.78,10.0.0.149,23784,525,UDP,772,2023-01-21 18:09:31,Shellcode,1,18,Saturday,0
192.168.1.60,10.0.0.23,23854,208,TCP,1239,2023-01-04 03:38:54,Normal,0,3,Wednesday,0
192.168.1.150,10.0.0.13,48385,25,UDP,1357,2023-01-06 11:51:50,Worms,1,11,Friday,0
192.168.1.49,10.0.0.28,37656,448,UDP,1508,2023-01-12 19:44:11,Normal,0,19,Thursday,0
192.168.1.120,10.0.0.195,42610,547,TCP,1769,2023-01-16 21:42:10,Normal,0,21,Monday,0
192.168.1.141,10.0.0.238,13334,949,TCP,557,2023-01-09 15:11:49,Normal,0,15,Monday,0
192.168.1.24,10.0.0.41,37191,948,UDP,224,2023-01-07 01:46:49,Fuzzers,1,1,Saturday,0
192.168.1.177,10.0.0.23,4765,936,UDP,675,2023-01-15 11:24:23,Normal,0,11,Sunday,0
192.168.1.93,10.0.0.84,56726,188,ICMP,1919,2023-01-16 04:53:39,Normal,0,4,Monday,0
192.168.1.114,10.0.0.186,64230,238,ICMP,1682,2023-01-21 05:10:12,Normal,0,5,Saturday,0
192.168.1.10,10.0.0.184,12866,398,UDP,911,2023-01-06 05:08:35,Backdoor,1,5,Friday,0
192.168.1.83,10.0.0.72,59140,1004,TCP,1031,2023-01-22 05:41:21,Normal,0,5,Sunday,0
192.168.1.101,10.0.0.217,26640,824,UDP,1778,2023-01-08 17:59:20,Reconnaissance,1,17,Sunday,0
192.168.1.83,10.0.0.92,54615,254,TCP,77,2023-01-12 18:09:37,Normal,0,18,Thursday,0
192.168.1.39,10.0.0.170,18596,387,TCP,1177,2023-01-04 14:28:58,Analysis,1,14,Wednesday,0
192.168.1.33,10.0.0.130,25075,51,UDP,932,2023-01-11 13:59:46,Normal,0,13,Wednesday,0
192.168.1.12,10.0.0.79,47021,88,ICMP,1035,2023-01-01 01:20:54,Normal,0,1,Sunday,0
192.168.1.38,10.0.0.219,59189,116,TCP,614,2023-01-11 21:10:11,Normal,0,21,Wednesday,0
192.168.1.159,10.0.0.190,57781,22,UDP,1342,2023-01-23 04:19:23,Normal,0,4,Monday,0
192.168.1.64,10.0.0.40,32539,987,TCP,1320,2023-01-18 14:17:10,Normal,0,14,Wednesday,0
192.168.1.240,10.0.0.135,33079,585,ICMP,1344,2023-01-01 17:51:36,Normal,0,17,Sunday,0
192.168.1.102,10.0.0.251,43255,854,ICMP,1203,2023-01-17 09:04:58,Normal,0,9,Tuesday,0
192.168.1.138,10.0.0.244,46819,142,UDP,1332,2023-01-20 19:53:36,Generic,1,19,Friday,0
192.168.1.61,10.0.0.75,56562,609,UDP,1528,2023-01-13 10:13:11,Normal,0,10,Friday,0
192.168.1.156,10.0.0.89,28060,128,TCP,1634,2023-01-20 17:50:18,Normal,0,17,Friday,0
192.168.1.43,10.0.0.147,13667,858,ICMP,1245,2023-01-10 19:25:33,Normal,0,19,Tuesday,0
192.168.1.160,10.0.0.116,60639,146,UDP,1029,2023-01-05 03:42:30,Generic,1,3,Thursday,0
192.168.1.70,10.0.0.55,37750,642,ICMP,1412,2023-01-17 20:09:04,Normal,0,20,Tuesday,0
192.168.1.106,10.0.0.150,59154,340,ICMP,902,2023-01-05 07:24:12,Fuzzers,1,7,Thursday,0
192.168.1.18,10.0.0.222,32079,852,UDP,774,2023-01-06 04:11:28,Normal,0,4,Friday,0
192.168.1.75,10.0.0.146,28875,860,ICMP,243,2023-01-16 20:39:26,DoS,1,20,Monday,0
192.168.1.124,10.0.0.187,48329,600,UDP,1195,2023-01-12 23:16:22,Normal,0,23,Thursday,0
192.168.1.34,10.0.0.150,37282,639,ICMP,170,2023-01-06 04:45:54,Normal,0,4,Friday,0
192.168.1.35,10.0.0.171,58580,802,TCP,1575,2023-01-19 22:52:02,Backdoor,1,22,Thursday,0
192.168.1.237,10.0.0.100,35118,853,TCP,76,2023-01-15 09:39:22,Exploits,1,9,Sunday,0
192.168.1.54,10.0.0.200,10081,714,UDP,1886,2023-01-14 02:45:18,Normal,0,2,Saturday,0
192.168.1.194,10.0.0.23,4405,527,UDP,1521,2023-01-16 13:51:35,Normal,0,13,Monday,0
192.168.1.245,10.0.0.150,6414,824,ICMP,1994,2023-01-20 17:46:23,Normal,0,17,Friday,0
192.168.1.168,10.0.0.94,48172,202,ICMP,632,2023-01-02 12:11:57,Analysis,1,12,Monday,0
192.168.1.228,10.0.0.233,51630,712,UDP,1906,2023-01-02 17:05:38,Normal,0,17,Monday,0
192.168.1.10,10.0.0.137,34841,97,ICMP,198,2023-01-10 02:16:45,Normal,0,2,Tuesday,0
192.168.1.120,10.0.0.21,23848,112,UDP,501,2023-01-05 00:46:08,Normal,0,0,Thursday,0
192.168.1.13,10.0.0.22,40767,676,ICMP,1802,2023-01-15 01:41:33,Reconnaissance,1,1,Sunday,0
192.168.1.20,10.0.0.116,61054,413,TCP,1974,2023-01-16 03:30:33,Normal,0,3,Monday,0
192.168.1.104,10.0.0.86,35667,873,UDP,360,2023-01-05 04:44:48,DoS,1,4,Thursday,0
192.168.1.38,10.0.0.26,8737,543,UDP,1226,2023-01-10 08:35:41,Generic,1,8,Tuesday,0
192.168.1.219,10.0.0.219,7977,567,UDP,1662,2023-01-14 10:58:47,Reconnaissance,1,10,Saturday,0
192.168.1.178,10.0.0.43,2178,453,UDP,199,2023-01-01 07:50:07,Normal,0,7,Sunday,0
192.168.1.21,10.0.0.122,44480,640,ICMP,681,2023-01-02 08:09:00,Normal,0,8,Monday,0
192.168.1.123,10.0.0.34,53369,627,ICMP,603,2023-01-05 01:38:24,Fuzzers,1,1,Thursday,0
192.168.1.207,10.0.0.55,23050,427,TCP,878,2023-01-20 06:17:49,Normal,0,6,Friday,0
192.168.1.215,10.0.0.150,27533,394,TCP,1814,2023-01-05 13:15:43,Normal,0,13,Thursday,0
192.168.1.130,10.0.0.121,58735,585,TCP,282,2023-01-05 05:22:14,Normal,0,5,Thursday,0
192.168.1.115,10.0.0.72,7849,110,TCP,60,2023-01-11 13:40:43,Worms,1,13,Wednesday,1
192.168.1.221,10.0.0.47,28820,44,TCP,1799,2023-01-20 00:09:48,Normal,0,0,Friday,1
192.168.1.203,10.0.0.169,12971,842,ICMP,627,2023-01-03 10:41:00,Normal,0,10,Tuesday,0
192.168.1.157,10.0.0.51,38706,619,UDP,273,2023-01-15 11:18:35,Reconnaissance,1,11,Sunday,0
192.168.1.166,10.0.0.229,30719,895,UDP,1492,2023-01-03 02:00:25,Reconnaissance,1,2,Tuesday,0
192.168.1.207,10.0.0.103,44677,869,UDP,1477,2023-01-23 08:43:31,Normal,0,8,Monday,0
192.168.1.246,10.0.0.244,14333,1002,TCP,1941,2023-01-22 11:49:41,Normal,0,11,Sunday,1
192.168.1.212,10.0.0.185,19283,856,UDP,1800,2023-01-17 19:56:18,Reconnaissance,1,19,Tuesday,0
192.168.1.235,10.0.0.89,4176,178,ICMP,1434,2023-01-17 11:28:36,Normal,0,11,Tuesday,0
192.168.1.209,10.0.0.17,8261,348,UDP,1907,2023-01-19 06:22:19,Normal,0,6,Thursday,0
192.168.1.209,10.0.0.158,6471,905,UDP,922,2023-01-11 00:09:37,Normal,0,0,Wednesday,0
192.168.1.52,10.0.0.38,37561,282,TCP,812,2023-01-01 20:00:14,Normal,0,20,Sunday,0
192.168.1.59,10.0.0.253,24022,359,TCP,1410,2023-01-15 19:12:38,Normal,0,19,Sunday,0
192.168.1.69,10.0.0.5,35195,388,TCP,606,2023-01-20 22:51:39,Normal,0,22,Friday,0
192.168.1.177,10.0.0.252,26905,70,ICMP,1645,2023-01-06 03:19:45,Normal,0,3,Friday,0
192.168.1.99,10.0.0.3,26468,251,TCP,1320,2023-01-11 11:48:20,Normal,0,11,Wednesday,0
192.168.1.202,10.0.0.18,29579,514,UDP,1203,2023-01-22 09:24:05,Normal,0,9,Sunday,0
192.168.1.82,10.0.0.254,6798,113,UDP,1954,2023-01-14 10:26:23,Reconnaissance,1,10,Saturday,0
192.168.1.28,10.0.0.144,32552,315,UDP,167,2023-01-19 16:11:12,Exploits,1,16,Thursday,0
192.168.1.115,10.0.0.117,60306,700,ICMP,510,2023-01-16 20:35:52,Normal,0,20,Monday,0
192.168.1.38,10.0.0.33,5520,853,TCP,1616,2023-01-21 22:26:15,Normal,0,22,Saturday,0
192.168.1.139,10.0.0.36,56464,917,UDP,1565,2023-01-09 02:58:11,Normal,0,2,Monday,0
192.168.1.195,10.0.0.76,9535,341,UDP,520,2023-01-11 22:40:03,DoS,1,22,Wednesday,0
192.168.1.113,10.0.0.44,18516,810,TCP,1311,2023-01-10 19:48:18,Normal,0,19,Tuesday,0
192.168.1.8,10.0.0.166,62349,420,UDP,1489,2023-01-15 04:15:53,Normal,0,4,Sunday,0
192.168.1.156,10.0.0.143,27205,520,TCP,688,2023-01-16 12:49:20,Worms,1,12,Monday,0
192.168.1.144,10.0.0.47,26349,510,TCP,594,2023-01-12 06:29:14,Reconnaissance,1,6,Thursday,0
192.168.1.116,10.0.0.48,60098,563,ICMP,690,2023-01-21 18:26:13,Generic,1,18,Saturday,0
192.168.1.43,10.0.0.2,29083,934,UDP,1381,2023-01-19 18:33:18,Normal,0,18,Thursday,0
192.168.1.35,10.0.0.49,43251,567,ICMP,1861,2023-01-13 21:15:51,Normal,0,21,Friday,0
192.168.1.37,10.0.0.100,46388,879,UDP,1677,2023-01-07 12:34:29,Normal,0,12,Saturday,0
192.168.1.69,10.0.0.118,23693,979,TCP,48,2023-01-17 01:24:17,Normal,0,1,Tuesday,1
192.168.1.224,10.0.0.124,60051,6,TCP,1172,2023-01-08 16:32:40,Normal,0,16,Sunday,0
192.168.1.50,10.0.0.104,31161,919,TCP,144,2023-01-12 12:18:26,Fuzzers,1,12,Thursday,0
192.168.1.114,10.0.0.94,25342,253,ICMP,1112,2023-01-07 03:25:41,Normal,0,3,Saturday,0
192.168.1.22,10.0.0.252,40620,749,ICMP,1598,2023-01-07 00:08:44,Exploits,1,0,Saturday,0
192.168.1.117,10.0.0.116,2944,277,ICMP,1899,2023-01-05 15:48:06,Normal,0,15,Thursday,0
192.168.1.7,10.0.0.90,54224,491,TCP,766,2023-01-13 06:14:29,Normal,0,6,Friday,0
192.168.1.44,10.0.0.159,49811,952,TCP,1008,2023-01-07 14:40:59,Normal,0,14,Saturday,0
192.168.1.199,10.0.0.154,40887,767,ICMP,1883,2023-01-04 01:41:47,Normal,0,1,Wednesday,0
192.168.1.77,10.0.0.235,34940,622,ICMP,281,2023-01-09 06:28:10,Shellcode,1,6,Monday,0
192.168.1.93,10.0.0.158,44445,347,TCP,636,2023-01-14 00:24:00,Normal,0,0,Saturday,0
192.168.1.183,10.0.0.74,19918,879,ICMP,446,2023-01-10 04:37:28,Analysis,1,4,Tuesday,0
192.168.1.133,10.0.0.75,1311,595,UDP,939,2023-01-22 22:36:38,Normal,0,22,Sunday,0
192.168.1.30,10.0.0.25,38427,159,ICMP,596,2023-01-12 18:13:23,Fuzzers,1,18,Thursday,0
192.168.1.97,10.0.0.69,45457,58,TCP,645,2023-01-15 23:35:32,DoS,1,23,Sunday,0
192.168.1.210,10.0.0.75,44548,894,TCP,935,2023-01-09 16:17:55,Normal,0,16,Monday,0
192.168.1.37,10.0.0.76,4329,470,TCP,1618,2023-01-12 04:27:18,Shellcode,1,4,Thursday,0
192.168.1.15,10.0.0.22,46961,809,TCP,340,2023-01-01 15:29:01,Normal,0,15,Sunday,0
192.168.1.93,10.0.0.145,3144,537,TCP,74,2023-01-21 11:08:23,Normal,0,11,Saturday,1
192.168.1.194,10.0.0.250,11501,547,TCP,1960,2023-01-01 09:18:28,DoS,1,9,Sunday,0
192.168.1.147,10.0.0.49,44682,651,UDP,548,2023-01-07 23:49:15,Normal,0,23,Saturday,0
192.168.1.213,10.0.0.103,42244,446,TCP,43,2023-01-07 03:28:14,Normal,0,3,Saturday,0
192.168.1.61,10.0.0.242,43021,67,TCP,289,2023-01-15 00:38:09,Normal,0,0,Sunday,0
192.168.1.66,10.0.0.218,52240,28,TCP,731,2023-01-03 03:34:20,Normal,0,3,Tuesday,0
192.168.1.220,10.0.0.174,54330,128,ICMP,744,2023-01-09 23:17:57,Backdoor,1,23,Monday,0
192.168.1.246,10.0.0.39,40668,195,ICMP,1549,2023-01-23 19:15:40,Normal,0,19,Monday,0
192.168.1.169,10.0.0.85,13115,918,TCP,656,2023-01-08 04:07:12,Exploits,1,4,Sunday,0
192.168.1.190,10.0.0.62,23969,362,ICMP,1637,2023-01-16 17:19:34,Generic,1,17,Monday,0
192.168.1.164,10.0.0.177,41586,550,UDP,373,2023-01-19 20:37:38,Normal,0,20,Thursday,0
192.168.1.98,10.0.0.45,35219,239,TCP,991,2023-01-16 07:52:24,Analysis,1,7,Monday,0
192.168.1.2,10.0.0.160,54117,644,UDP,1709,2023-01-10 07:50:26,Exploits,1,7,Tuesday,0
192.168.1.3,10.0.0.223,9489,968,UDP,1619,2023-01-19 07:46:40,Exploits,1,7,Thursday,0
192.168.1.147,10.0.0.254,27633,760,TCP,401,2023-01-06 02:21:43,Normal,0,2,Friday,0
192.168.1.78,10.0.0.173,9572,997,ICMP,598,2023-01-10 17:24:12,Normal,0,17,Tuesday,0
192.168.1.78,10.0.0.17,52077,123,ICMP,1136,2023-01-19 11:08:33,Normal,0,11,Thursday,0
192.168.1.55,10.0.0.130,37328,425,ICMP,1552,2023-01-01 16:59:18,Normal,0,16,Sunday,0
192.168.1.91,10.0.0.217,39571,875,ICMP,694,2023-01-04 13:12:00,Worms,1,13,Wednesday,0
192.168.1.88,10.0.0.201,28586,636,ICMP,214,2023-01-20 06:03:37,Normal,0,6,Friday,0
192.168.1.235,10.0.0.232,10771,707,UDP,1984,2023-01-02 00:44:39,Normal,0,0,Monday,1
192.168.1.227,10.0.0.154,23034,639,TCP,971,2023-01-03 06:17:18,Analysis,1,6,Tuesday,0
192.168.1.240,10.0.0.143,56220,573,ICMP,1639,2023-01-23 09:16:16,Normal,0,9,Monday,0
192.168.1.156,10.0.0.103,35137,143,ICMP,634,2023-01-08 08:52:10,Normal,0,8,Sunday,0
192.168.1.43,10.0.0.248,20017,359,ICMP,333,2023-01-09 05:00:02,Normal,0,5,Monday,0
192.168.1.188,10.0.0.212,8313,89,ICMP,1022,2023-01-12 18:11:36,Normal,0,18,Thursday,0
192.168.1.14,10.0.0.191,29904,39,TCP,802,2023-01-07 11:15:59,Normal,0,11,Saturday,0
192.168.1.30,10.0.0.156,20889,678,ICMP,168,2023-01-03 00:11:04,Normal,0,0,Tuesday,0
192.168.1.249,10.0.0.18,6351,92,TCP,1885,2023-01-07 20:05:48,Normal,0,20,Saturday,0
192.168.1.31,10.0.0.12,20654,247,TCP,1088,2023-01-18 13:08:37,Normal,0,13,Wednesday,0
192.168.1.16,10.0.0.203,5488,387,ICMP,278,2023-01-11 02:57:08,Normal,0,2,Wednesday,0
192.168.1.119,10.0.0.63,25233,635,ICMP,1884,2023-01-13 09:09:39,Normal,0,9,Friday,0
192.168.1.117,10.0.0.206,44917,758,UDP,1876,2023-01-02 23:51:42,Exploits,1,23,Monday,0
192.168.1.211,10.0.0.147,27343,219,UDP,1971,2023-01-12 11:59:32,Normal,0,11,Thursday,0
192.168.1.166,10.0.0.33,12077,1014,UDP,682,2023-01-01 15:08:39,Generic,1,15,Sunday,0
192.168.1.2,10.0.0.175,24805,217,TCP,258,2023-01-12 00:27:14,Normal,0,0,Thursday,0
192.168.1.127,10.0.0.170,4579,375,UDP,733,2023-01-07 01:16:27,Normal,0,1,Saturday,0
192.168.1.143,10.0.0.229,34212,360,ICMP,393,2023-01-15 08:53:14,Normal,0,8,Sunday,0
192.168.1.197,10.0.0.220,35459,977,TCP,1749,2023-01-11 05:47:57,Normal,0,5,Wednesday,0
192.168.1.10,10.0.0.64,33358,463,UDP,988,2023-01-18 13:44:34,Normal,0,13,Wednesday,0
192.168.1.5,10.0.0.56,8474,108,ICMP,1327,2023-01-14 12:43:14,Normal,0,12,Saturday,0
192.168.1.182,10.0.0.118,18422,234,TCP,1114,2023-01-04 03:23:59,Normal,0,3,Wednesday,0
192.168.1.186,10.0.0.46,10874,86,UDP,1623,2023-01-23 18:59:13,Fuzzers,1,18,Monday,0
192.168.1.200,10.0.0.197,57110,870,ICMP,1606,2023-01-21 05:20:56,Normal,0,5,Saturday,0
192.168.1.193,10.0.0.168,22914,685,TCP,1790,2023-01-17 04:50:53,Fuzzers,1,4,Tuesday,0
192.168.1.46,10.0.0.196,29571,266,TCP,721,2023-01-02 23:16:20,Fuzzers,1,23,Monday,0
192.168.1.228,10.0.0.81,13883,519,UDP,1380,2023-01-24 03:10:57,Normal,0,3,Tuesday,0
192.168.1.184,10.0.0.248,17556,278,UDP,1614,2023-01-15 16:14:01,Normal,0,16,Sunday,0
192.168.1.14,10.0.0.69,32793,663,UDP,1025,2023-01-22 18:28:53,Normal,0,18,Sunday,0
192.168.1.169,10.0.0.82,61288,342,UDP,1125,2023-01-09 16:41:43,Normal,0,16,Monday,0
192.168.1.15,10.0.0.25,60612,502,UDP,1144,2023-01-10 03:52:13,Fuzzers,1,3,Tuesday,0
192.168.1.233,10.0.0.94,27826,469,TCP,733,2023-01-07 08:08:46,Exploits,1,8,Saturday,0
192.168.1.172,10.0.0.72,52462,256,UDP,927,2023-01-07 13:46:34,Generic,1,13,Saturday,0
192.168.1.25,10.0.0.156,3505,321,ICMP,321,2023-01-16 17:40:18,Reconnaissance,1,17,Monday,0
192.168.1.239,10.0.0.204,47104,140,UDP,1447,2023-01-20 04:14:54,Normal,0,4,Friday,0
192.168.1.181,10.0.0.184,23339,586,TCP,1042,2023-01-22 16:13:43,DoS,1,16,Sunday,0
192.168.1.226,10.0.0.38,39902,683,UDP,273,2023-01-04 03:43:51,Fuzzers,1,3,Wednesday,0
192.168.1.39,10.0.0.251,7205,254,TCP,844,2023-01-09 09:10:38,Normal,0,9,Monday,0
192.168.1.190,10.0.0.201,53167,765,UDP,906,2023-01-09 04:28:02,Normal,0,4,Monday,0
192.168.1.161,10.0.0.206,13311,18,UDP,1691,2023-01-08 00:46:43,Normal,0,0,Sunday,1
192.168.1.220,10.0.0.72,19221,305,UDP,1947,2023-01-12 09:52:58,Generic,1,9,Thursday,0
192.168.1.188,10.0.0.72,30106,218,UDP,306,2023-01-21 19:56:51,Backdoor,1,19,Saturday,0
192.168.1.35,10.0.0.115,11668,807,TCP,1359,2023-01-08 20:30:41,Normal,0,20,Sunday,0
192.168.1.197,10.0.0.2,30884,689,TCP,939,2023-01-19 02:53:13,Shellcode,1,2,Thursday,0
192.168.1.202,10.0.0.28,58311,239,ICMP,797,2023-01-14 00:30:26,Normal,0,0,Saturday,0
192.168.1.185,10.0.0.181,10604,811,UDP,913,2023-01-21 14:19:23,Backdoor,1,14,Saturday,0
192.168.1.227,10.0.0.30,11068,39,UDP,447,2023-01-16 06:12:11,Exploits,1,6,Monday,0
192.168.1.124,10.0.0.100,48679,748,UDP,1903,2023-01-11 00:16:37,Normal,0,0,Wednesday,0
192.168.1.35,10.0.0.219,4007,429,ICMP,1204,2023-01-09 10:17:52,Backdoor,1,10,Monday,0
192.168.1.140,10.0.0.47,22878,215,UDP,680,2023-01-15 10:28:05,Normal,0,10,Sunday,0
192.168.1.206,10.0.0.58,2519,35,TCP,409,2023-01-21 22:13:08,DoS,1,22,Saturday,1
192.168.1.80,10.0.0.52,31177,569,TCP,367,2023-01-11 03:23:50,Normal,0,3,Wednesday,0
192.168.1.138,10.0.0.172,20035,766,TCP,1651,2023-01-14 02:37:38,Normal,0,2,Saturday,0
192.168.1.201,10.0.0.110,35443,629,ICMP,56,2023-01-17 07:38:50,Normal,0,7,Tuesday,0
192.168.1.204,10.0.0.35,14922,441,UDP,789,2023-01-16 08:19:36,Normal,0,8,Monday,0
192.168.1.38,10.0.0.119,35539,810,ICMP,1437,2023-01-17 11:00:52,Worms,1,11,Tuesday,0
192.168.1.206,10.0.0.13,53244,562,UDP,994,2023-01-06 15:33:24,Normal,0,15,Friday,0
192.168.1.49,10.0.0.238,23417,765,UDP,949,2023-01-04 08:42:09,Normal,0,8,Wednesday,0
192.168.1.222,10.0.0.17,60729,335,UDP,1345,2023-01-11 06:23:14,Analysis,1,6,Wednesday,0
192.168.1.236,10.0.0.13,35406,816,ICMP,932,2023-01-20 18:03:38,Normal,0,18,Friday,0
192.168.1.246,10.0.0.207,51074,8,ICMP,1638,2023-01-07 17:56:35,Normal,0,17,Saturday,0
192.168.1.7,10.0.0.72,12373,761,UDP,493,2023-01-17 13:53:30,Analysis,1,13,Tuesday,0
192.168.1.38,10.0.0.162,29193,379,ICMP,1979,2023-01-11 10:18:31,Shellcode,1,10,Wednesday,0
192.168.1.199,10.0.0.43,13497,469,TCP,631,2023-01-08 01:44:29,Normal,0,1,Sunday,0
192.168.1.4,10.0.0.253,9224,946,TCP,1633,2023-01-02 19:57:46,Normal,0,19,Monday,0
192.168.1.137,10.0.0.223,16542,483,TCP,1981,2023-01-15 02:25:56,Normal,0,2,Sunday,0
192.168.1.57,10.0.0.243,46994,865,ICMP,1044,2023-01-07 20:13:43,Normal,0,20,Saturday,0
192.168.1.15,10.0.0.14,3217,148,TCP,997,2023-01-09 10:13:51,Normal,0,10,Monday,0
192.168.1.235,10.0.0.98,17906,875,ICMP,1677,2023-01-14 22:32:44,Exploits,1,22,Saturday,0
192.168.1.128,10.0.0.54,47706,926,TCP,762,2023-01-16 22:39:35,Exploits,1,22,Monday,0
192.168.1.8,10.0.0.123,7896,998,UDP,1491,2023-01-10 01:36:42,Normal,0,1,Tuesday,1
192.168.1.235,10.0.0.205,11745,321,UDP,821,2023-01-22 10:06:55,Shellcode,1,10,Sunday,0
192.168.1.77,10.0.0.69,34201,958,TCP,1090,2023-01-11 19:00:24,DoS,1,19,Wednesday,0
192.168.1.147,10.0.0.37,39584,443,UDP,1915,2023-01-15 11:14:02,Exploits,1,11,Sunday,0
192.168.1.161,10.0.0.74,11393,504,TCP,1395,2023-01-08 16:06:42,Normal,0,16,Sunday,0
192.168.1.107,10.0.0.140,21877,98,UDP,867,2023-01-20 05:25:21,Normal,0,5,Friday,0
192.168.1.243,10.0.0.162,15499,967,TCP,1354,2023-01-23 20:57:45,Analysis,1,20,Monday,0
192.168.1.13,10.0.0.164,36442,975,ICMP,867,2023-01-20 16:39:03,Normal,0,16,Friday,0
192.168.1.10,10.0.0.117,51100,151,ICMP,1212,2023-01-23 03:16:35,Normal,0,3,Monday,0
192.168.1.154,10.0.0.164,5420,610,UDP,943,2023-01-08 15:12:20,Normal,0,15,Sunday,0
192.168.1.222,10.0.0.3,11305,203,TCP,408,2023-01-10 12:34:48,Normal,0,12,Tuesday,0
192.168.1.159,10.0.0.234,6499,6,TCP,388,2023-01-22 06:50:12,Normal,0,6,Sunday,0
192.168.1.81,10.0.0.31,12813,150,ICMP,161,2023-01-10 18:46:56,Reconnaissance,1,18,Tuesday,0
